0,0,1,App Inventor-零基础Android移动应用开发,88,1883
1,0,1,程序设计与算法（三）C++面向对象程序设计,70,2015
2,0,1,Python云端系统开发入门,69,1543
3,0,1,C语言程序设计进阶,59,1749
4,0,1,零基础学Python语言CAP,76,1777
5,0,1,高级语言程序设计（Python）CAP,73,1793
6,0,1,Python机器学习应用,92,1584
7,0,1,C语言程序设计——快速入门与提高,57,1931
8,0,1,Python游戏开发入门,97,2002
9,0,1,高级语言程序设计（Python）,92,1818
10,0,1,Python语言程序设计,95,2073
11,0,1,VB.NET程序设计,84,1921
12,0,1,计算机程序设计（C++）,63,1759
13,1,1,App Inventor-零基础Android移动应用开发,97,1664
14,1,1,程序设计与算法（三）C++面向对象程序设计,91,2160
15,1,1,Python云端系统开发入门,96,1514
16,1,1,C语言程序设计进阶,88,2034
17,1,1,零基础学Python语言CAP,82,2080
18,1,1,高级语言程序设计（Python）CAP,65,1514
19,1,1,Python机器学习应用,68,1863
20,1,1,C语言程序设计——快速入门与提高,69,1728
21,1,1,Python游戏开发入门,63,1640
22,1,1,高级语言程序设计（Python）,77,1855
23,1,1,Python语言程序设计,91,1876
24,1,1,VB.NET程序设计,96,1564
25,1,1,计算机程序设计（C++）,68,1570
26,2,1,App Inventor-零基础Android移动应用开发,73,1956
27,2,1,程序设计与算法（三）C++面向对象程序设计,84,1555
28,2,1,Python云端系统开发入门,67,2122
29,2,1,C语言程序设计进阶,60,1714
30,2,1,零基础学Python语言CAP,100,1456
31,2,1,高级语言程序设计（Python）CAP,96,1945
32,2,1,Python机器学习应用,57,1907
33,2,1,C语言程序设计——快速入门与提高,96,1859
34,2,1,Python游戏开发入门,97,1855
35,2,1,高级语言程序设计（Python）,72,1479
36,2,1,Python语言程序设计,95,1613
37,2,1,VB.NET程序设计,65,1581
38,2,1,计算机程序设计（C++）,70,1555
39,3,1,App Inventor-零基础Android移动应用开发,93,1807
40,3,1,程序设计与算法（三）C++面向对象程序设计,53,1798
41,3,1,Python云端系统开发入门,90,1676
42,3,1,C语言程序设计进阶,57,1667
43,3,1,零基础学Python语言CAP,91,1655
44,3,1,高级语言程序设计（Python）CAP,93,1563
45,3,1,Python机器学习应用,50,2079
46,3,1,C语言程序设计——快速入门与提高,63,2002
47,3,1,Python游戏开发入门,64,1716
48,3,1,高级语言程序设计（Python）,90,1928
49,3,1,Python语言程序设计,80,1774
50,3,1,VB.NET程序设计,91,1457
51,3,1,计算机程序设计（C++）,54,2106
52,4,1,App Inventor-零基础Android移动应用开发,84,1962
53,4,1,程序设计与算法（三）C++面向对象程序设计,98,1864
54,4,1,Python云端系统开发入门,62,2024
55,4,1,C语言程序设计进阶,71,1630
56,4,1,零基础学Python语言CAP,94,2103
57,4,1,高级语言程序设计（Python）CAP,56,1535
58,4,1,Python机器学习应用,100,1780
59,4,1,C语言程序设计——快速入门与提高,59,2110
60,4,1,Python游戏开发入门,95,1831
61,4,1,高级语言程序设计（Python）,84,1825
62,4,1,Python语言程序设计,50,1831
63,4,1,VB.NET程序设计,81,2019
64,4,1,计算机程序设计（C++）,71,1835
65,5,1,App Inventor-零基础Android移动应用开发,92,1593
66,5,1,程序设计与算法（三）C++面向对象程序设计,98,1880
67,5,1,Python云端系统开发入门,96,1951
68,5,1,C语言程序设计进阶,64,1483
69,5,1,零基础学Python语言CAP,53,1511
70,5,1,高级语言程序设计（Python）CAP,67,2089
71,5,1,Python机器学习应用,88,1594
72,5,1,C语言程序设计——快速入门与提高,58,1898
73,5,1,Python游戏开发入门,75,1904
74,5,1,高级语言程序设计（Python）,51,1686
75,5,1,Python语言程序设计,58,1825
76,5,1,VB.NET程序设计,84,2003
77,5,1,计算机程序设计（C++）,56,1667
78,6,1,App Inventor-零基础Android移动应用开发,62,1554
79,6,1,程序设计与算法（三）C++面向对象程序设计,88,1521
80,6,1,Python云端系统开发入门,59,1456
81,6,1,C语言程序设计进阶,94,1583
82,6,1,零基础学Python语言CAP,52,1568
83,6,1,高级语言程序设计（Python）CAP,98,1540
84,6,1,Python机器学习应用,84,2124
85,6,1,C语言程序设计——快速入门与提高,97,1745
86,6,1,Python游戏开发入门,53,1788
